biblioteca,departamento,nro_registro,domicilio,localidad,provincia,lat,long
Bib.Pop. Quintú C´Me Raquizuam (Buscando Buenos Pensamientos),Catan Lil,4160,Zingoni 1 ,Las Coloradas,Neuquén,-39.556067,-70.59385
Bib.Pop. Jorge Fonseca,Confluencia,3840,Santo Domingo 148 Alborada,Centenario,Neuquén,-38.828367,-68.141433
Bib.Pop. Espacio de Libertad,Confluencia,4296,San Martín 6141 Valentina Norte,Neuquén,Neuquén,-38.95531,-68.146708
Bib.Pop. Huilliches,Confluencia,4162,San Martín 4512 Canal V,Neuquén,Neuquén,-38.950533,-68.1011
Bib. Pop. Pehuen - Barrio Alta Barda,Confluencia,4152,Los Tulipanes 1665 Alta Barda,Neuquén,Neuquén,-38.93505,-68.070133
Bib.Pop. Abuela Bertogna de Barrio Nuevo,Confluencia,4269,Lanín 440 Nuevo,Neuquén,Neuquén,-38.964667,-68.06555
Bib. Pop. Monseñor Jaime de Nevares,Confluencia,4052,Batilana 1230 Islas Malvinas,Neuquén,Neuquén,-38.954285,-68.075127
Bib.Pop. 15 de junio,Confluencia,4254,Santiago del Estero 875 Los Aromos,Plottier,Neuquén,-38.958596,-68.241882
Bib.Pop. Libertador General José de San Martín,Confluencia,4113,Río Atuel 206 Villa Farrell,Neuquén,Neuquén,-38.952417,-68.037517
Bib.Pop. Rodolfo Walsh,Confluencia,4032,Beliisle 2046 Confluencia,Neuquén,Neuquén,-38.966817,-68.0349
Bib.Pop. Carmen Mellado,Confluencia,3919,Misiones 295 Tagliaferri,Plottier,Neuquén,-38.959133,-68.22505
Bib.Pop. San Francisco Solano,Capital,3808,Avenida Felipe Varela 1102 San Francisco Solano,Salta,Salta,-24.828667,-65.396067
Bib.Pop. D.F.Sarmiento,Capital,3822,Calle 7 Mzna 380 D Lote 4  Unión,Salta,Salta,-24.848469,-65.459648
Bib.Pop. Jorge Luis Borges,Capital,3746,Calle Rawson  Juan Calchaqui,Salta,Salta,-24.828997,-65.406906
Bib.Pop. María Ester Gauna,Capital,3781,Mza.378 B lote 20  Juan Pablo II,Salta,Salta,-24.782932,-65.412155
Bib.Pop. Dr. Mariano Boedo,Capital,3708,Mar Adriático 918 P.Saravia,Salta,Salta,-24.827667,-65.422567
Bib.Pop. San Martín de Porres,Capital,3734,Pavo Real 1754 José Solis Pizarro,Salta,Salta,-24.811846,-65.445702
Bib. Pop. Presbítero P. F. Acuña,Capital,3651,Delfín Huergo 850 ,Salta,Salta,-24.797783,-65.44035
Bib. Pop. Antonio Nella Castro,Capital,3677,Anselmo Rojo 45 Municipal,Salta,Salta,-24.8114,-65.403833
Bib.Pop. Macacha Güemes,Capital,3474,16 de Septiembre 219 ,Salta,Salta,-24.806202,-65.41317
Bib.Pop. Juan Carlos Davalos,Capital,3125,10 de Octubre 551 Villa Chartas,Salta,Salta,-24.795767,-65.424083
Bib.Pop. Campo Caseros,Capital,3126,Caseros 1925 C.Caseros,Salta,Salta,-24.788583,-65.429333
Bib.Pop. Rosa Parks,Capital,4342,Pasaje José María Lahora 2587 La Loma,Salta,Salta,-24.770183,-65.43222
Bib. Pop. Gral. Lamadrid,Capital,4385,Deán Funes  Barrio Lamadrid,Capital,Salta,-24.804123,-65.423776
Bib. Pop. Gulubu,Capital,4420,"Mza 468 ""F"" Lote 23  ",Capital,Salta,-24.7168786987565,-65.41168164537315
Bib. Pop. Manuel J. Castilla de El Quebrachal,Anta,3121,Intte.Ramón Tornero s/n  ,El Quebrachal,Salta,-25.335517,-64.0165
Nueva Bib. Pop. José Hernández,Gral Güemes,3610,San Martín 21 ,El Bordo,Salta,-24.661,-65.106167
Bib.Pop. Bernardino Rivadavia,Gral Güemes,2574,9 de Julio 280 ,Campo Santo,Salta,-24.684783,-65.101783
Bib.Pop. D.F.Sarmiento,Gral Güemes,1366,F.C.Rodriguez 182  ,General Güemes,Salta,-24.674986,-65.046371
Bib.Pop. Amparo F. de Maidana,Gral Jose De San Martin,4109,9 de Julio 623 ,Tartagal,Salta,-22.5204,-63.799
Bib.Pop. José Hernández,Gral Jose De San Martin,3759,Peatonal Rivadavia s/n  Centro,Aguaray,Salta,-22.24295,-63.735417
Bib.Pop. Juan Bautista Alberdi,Gral Jose De San Martin,1825,San Martín 384 ,Tartagal,Salta,-22.515517,-63.79445
Asoc.y Bib.Pop. El molino,La Caldera,4083,Hnos. Dionisio y José Gimenez  ,Vaqueros,Salta,-24.71843,-65.40155
Bib.Pop. Roberto Romero,La Caldera,4062,Los Sauces 25 ,Vaqueros,Salta,-24.707183,-65.405067
Bib.Pop. Marco M. de Avellaneda,Metan,0760,José Ignacio Sierra 953  ,Metán,Salta,-25.493267,-64.969783
Bib.Pop. Jorge Luis Borges,Oran,3385,Avda. Guemes y 25 de Mayo  ,Hipólito Yrigoyen,Salta,-23.24625,-64.27465
Bib.Pop. D.F.Sarmiento,Rosario De La Frontera,0753,Melchora F.de Cornejo 521 ,Rosario de la Frontera,Salta,-25.7989,-64.973233
Bib.Pop. Ernesto Sábato,Rosario De Lerma,3609,Bogotá 271 El Huasco,Rosario de Lerma,Salta,-24.977017,-65.589367
